pind,nstep,position,velocity,acceleration
0,0,[  0.   0. 120.],[580000. 580000.      0.],"[0.0, 0.0, 0.0]"
0,1,[-953.19801238  600.74403031 -839.2347966 ],[5.80000000e+02 5.80000000e+02 3.01586003e-14],-0.0004674120646086521
0,2,[-953.19801238  600.74403031 -839.2347966 ],[ 5.80000000e+02  5.80000000e+02 -1.66104248e-14],-0.00041499959024804406
0,3,[-953.19801238  600.74403031 -839.2347966 ],[ 5.80000000e+02  5.80000000e+02 -2.10449426e-14],-0.00025776216716622
0,4,[-953.19801238  600.74403031 -839.2347966 ],[ 5.80000000e+02  5.80000000e+02 -4.99428263e-14],4.300204636820126e-06
0,5,[-953.19801238  600.74403031 -839.2347966 ],[ 5.80000000e+02  5.80000000e+02 -6.35727085e-14],0.0003711903673320193
0,6,[-953.19801238  600.74403031 -839.2347966 ],[ 5.80000000e+02  5.80000000e+02 -3.01875084e-14],0.0008429026365774915
0,7,[-953.19801238  600.74403031 -839.2347966 ],[5.80000000e+02 5.80000000e+02 1.95555274e-14],0.0014194398545441798
0,8,[-953.19801238  600.74403031 -839.2347966 ],[ 5.80000000e+02  5.80000000e+02 -1.14067753e-15],0.0021008048634030274
0,9,[-953.19801238  600.74403031 -839.2347966 ],[ 5.80000000e+02  5.80000000e+02 -3.32436086e-14],0.0028869919788121474
0,10,[-953.19801238  600.74403031 -839.2347966 ],[ 5.80000000e+02  5.80000000e+02 -1.65915526e-14],0.003778006885113427
0,11,[-953.19801238  600.74403031 -839.2347966 ],[ 5.80000001e+02  5.79999999e+02 -1.95086317e-14],0.004773846740135923
0,12,[-953.19801238  600.74403031 -839.2347966 ],[ 5.80000001e+02  5.79999999e+02 -2.15163096e-14],0.005874511543879634
0,13,[-953.19801238  600.74403031 -839.2347966 ],[ 5.80000001e+02  5.79999999e+02 -5.81044331e-14],0.0070800012963445616
0,14,[-953.19801238  600.74403031 -839.2347966 ],[ 5.80000001e+02  5.79999999e+02 -7.88333365e-14],0.008390315997530706
0,15,[-953.19801238  600.74403031 -839.2347966 ],[ 5.80000002e+02  5.79999998e+02 -6.18523449e-14],0.009805455647438066
0,16,[-953.19801238  600.74403031 -839.2347966 ],[ 5.80000002e+02  5.79999998e+02 -8.32775090e-14],0.01132542024606664
0,17,[-953.19801238  600.74403031 -839.2347966 ],[ 5.80000003e+02  5.79999997e+02 -1.44914174e-13],0.012950209793416432
0,18,[-953.19801238  600.74403031 -839.2347966 ],[ 5.80000003e+02  5.79999997e+02 -1.38227848e-13],0.01467982428948744
